id,season,team1,team2,result,target,team2_score,balls_30,team2_30_rn,team2_30_wk,team2_30_ach,balls_60,team2_60_rn,team2_60_wk,team2_60_ach,balls_90,team2_90_rn,team2_90_wk,team2_90_ach,dl_applied,winner,win_by_runs,win_by_wickets,team2_win,dls_5,dls_10,dls_15
92,2008,Kolkata Knight Riders,Deccan Chargers,normal,205,181,90,41,2,140,60,74,4,107,30,125,6,56,0,Kolkata Knight Riders,23,0,0,0,0,0
93,2008,Delhi Daredevils,Rajasthan Royals,normal,157,159,90,15,2,144,60,80,2,79,30,120,4,39,0,Rajasthan Royals,0,3,1,0,1,1
94,2008,Royal Challengers Bangalore,Kings XI Punjab,normal,144,144,90,33,0,111,60,70,1,74,30,141,1,3,0,Kings XI Punjab,0,9,1,1,1,1
95,2008,Kolkata Knight Riders,Delhi Daredevils,normal,134,110,90,32,4,78,60,64,5,46,30,97,6,13,0,Kolkata Knight Riders,23,0,0,0,0,0
96,2008,Chennai Super Kings,Mumbai Indians,normal,157,158,90,57,0,101,60,107,1,51,30,158,1,0,0,Mumbai Indians,0,9,1,1,1,1
97,2008,Kings XI Punjab,Rajasthan Royals,normal,222,180,90,29,2,151,60,67,2,113,30,140,5,40,0,Kings XI Punjab,41,0,0,0,0,0
98,2008,Delhi Daredevils,Deccan Chargers,normal,195,182,90,61,1,121,60,84,3,98,30,128,4,54,0,Delhi Daredevils,12,0,0,1,0,0
99,2008,Kolkata Knight Riders,Mumbai Indians,normal,68,68,90,53,2,15,60,68,2,0,30,68,2,0,0,Mumbai Indians,0,8,1,1,1,1
101,2008,Rajasthan Royals,Royal Challengers Bangalore,normal,198,132,90,18,3,114,60,38,4,94,30,83,7,49,0,Rajasthan Royals,65,0,0,0,0,0
102,2008,Mumbai Indians,Deccan Chargers,normal,179,153,90,23,3,130,60,59,4,94,30,106,4,47,0,Mumbai Indians,25,0,0,0,0,0
104,2008,Royal Challengers Bangalore,Delhi Daredevils,normal,155,158,90,60,0,98,60,105,2,53,30,127,4,31,0,Delhi Daredevils,0,5,1,1,1,1
105,2008,Kolkata Knight Riders,Rajasthan Royals,normal,148,150,90,42,1,108,60,69,4,81,30,128,4,22,0,Rajasthan Royals,0,6,1,1,0,1
106,2008,Kings XI Punjab,Mumbai Indians,normal,190,188,90,56,1,132,60,90,2,98,30,144,3,44,0,Kings XI Punjab,1,0,0,1,1,1
107,2008,Royal Challengers Bangalore,Chennai Super Kings,normal,127,112,90,42,0,70,60,61,1,51,30,92,4,20,0,Royal Challengers Bangalore,14,0,0,1,1,1
